humidity,pm_2_5,temperature,hour,day,month
89.96815204,9.068965517,26.61550315,4,5,6
90.09805575,4.017094017,26.51386081,5,5,6
89.96993588,3.267241379,26.60339143,6,5,6
90.4411123,5.051724138,26.70469373,7,5,6
89.50748378,5.163793103,27.42610486,8,5,6
87.62735744,2.008547009,28.54036035,9,5,6
84.92799804,1.224137931,29.14666268,10,5,6
91.2852444,0.560344828,25.98493565,11,5,6
92.63436443,0.309734513,25.98911097,12,5,6
87.61084517,0.136752137,27.38423096,13,5,6
80.5064514,0.042735043,29.0390023,16,5,6
83.66065342,0.465517241,28.88962745,17,5,6
85.70743139,3.222222222,28.5497507,18,5,6
87.94422504,6.181034483,28.05684168,19,5,6
89.83406195,9.930434783,27.71046073,20,5,6
89.92591263,4.215517241,27.82921588,21,5,6
89.52774737,3.74137931,27.71376708,22,5,6
88.90104699,1.782608696,27.65830265,23,5,6
87.69223589,1.887931034,27.7952836,0,6,6
89.0960517,1.948275862,27.77049366,1,6,6
89.80569845,1.902654867,27.52428681,2,6,6
91.56484103,5.675213675,27.0385008,3,6,6
92.69254884,10.13913043,26.80456748,4,6,6
93.96902088,5.150442478,26.54938301,5,6,6
94.72220115,2.89380531,26.39641459,6,6,6
93.84464362,3.345454545,26.60547939,7,6,6
93.17169513,1.385964912,27.22322673,8,6,6
91.71780351,0.415929204,27.99556125,9,6,6
88.36934,0.178571429,28.70510636,10,6,6
82.01313462,0.194915254,30.15047248,11,6,6
76.54886035,0.043103448,31.10226263,12,6,6
80.02846,1.810344828,30.74263607,13,6,6
88.93281868,0.902654867,27.03739062,14,6,6
90.59197468,0.709090909,26.23523243,15,6,6
92.65169104,0.699115044,25.95909761,16,6,6
92.02883793,0.663793103,26.88163509,17,6,6
92.4138683,1.324074074,27.4404838,18,6,6
92.0904653,2.10619469,27.64776622,19,6,6
91.80123234,3.646017699,27.08300045,20,6,6
91.59224036,4.363636364,26.91010991,21,6,6
91.80214421,3.238938053,26.90341748,22,6,6
93.08835947,2.486486486,26.61691111,23,6,6
93.21298245,2.973451327,26.73539085,0,7,6
93.15886796,2.752136752,26.55065349,1,7,6
93.27513214,1.971962617,26.35567009,2,7,6
94.20503825,2.232758621,26.1821192,3,7,6
94.69716584,2.353448276,26.04433407,4,7,6
94.92145578,2.615384615,25.84291929,5,7,6
93.87806955,2.01754386,26.02611716,6,7,6
94.18337948,1.956896552,26.038467,7,7,6
94.50071522,2.4,26.36191679,8,7,6
92.73193061,1.732758621,27.25214167,9,7,6
89.01616737,0.663793103,28.4843343,10,7,6
82.12742895,0.111111111,30.26369411,11,7,6
81.73658377,0.088495575,29.86326901,12,7,6
94.08464991,0.714285714,24.87769261,13,7,6
95.34794896,1.172413793,24.86969513,14,7,6
95.43294752,1.375,25.23172796,15,7,6
94.17749091,0.370689655,25.75770889,16,7,6
94.8291193,0.767241379,25.88819634,17,7,6
94.65973372,1.525862069,26.14332637,18,7,6
95.0632257,5.818965517,25.73716064,19,7,6
94.56056552,3.947826087,25.79737702,20,7,6
95.10257912,2.938053097,25.73528198,21,7,6
94.32741104,2.256410256,26.07323649,22,7,6
94.71628726,3.655172414,25.93335259,23,7,6
95.28268205,4.35042735,25.65645425,0,8,6
94.5380057,3.396551724,25.61973177,1,8,6
95.39038217,8.172413793,25.27413804,2,8,6
96.72016034,3.837606838,25.13644139,3,8,6
96.37692796,3.396551724,25.31471586,4,8,6
95.82660062,2.724137931,25.24763292,5,8,6
95.71436374,2.367521368,25.14450088,6,8,6
95.69199894,3.745614035,25.11501366,7,8,6
96.20560733,3.956896552,25.88171495,8,8,6
92.89937482,2.139130435,27.20562089,9,8,6
86.82864957,1.74137931,29.11307235,10,8,6
81.18612044,1.465517241,30.49866333,11,8,6
74.03927649,0.836206897,31.25422191,12,8,6
71.04695124,0.715517241,31.7455382,13,8,6
70.8831259,1.52991453,31.93795487,14,8,6
70.5150058,2.603448276,32.2001345,15,8,6
70.69508825,0.427350427,31.71084398,16,8,6
73.15313035,6.698275862,31.13337973,17,8,6
75.50298419,4.418803419,30.43096675,18,8,6
76.47497589,14.43965517,30.01509651,19,8,6
79.18139447,12.45689655,29.13411814,20,8,6
81.09769383,7.060344828,28.70960105,21,8,6
83.82212427,5.41025641,27.82562517,22,8,6
83.30041904,3.275862069,27.75334711,23,8,6
